ordinal,output_field,group,chain_family,source_kind,source,operations,policies
1,demoRunId,core,core,path,$.run.campaignId,required,required
2,sequence,core,core,path,$.run.sequence,cast,
3,eventId,core,core,path,$.event.id,required|validate,required|validate
4,orderId,core,core,path,$.order.id,required,required
5,customerTier,core,core,path,$.customer.tier,case_convert,
6,normalizedStatus,core,core,path,$.order.status,lookup,
7,orderAmountDouble,core,core,path,$.order.amount,cast,
8,amountRounded,core,core,path,$.order.amount,cast|decimalScale|decimalScalePolicy,
9,eventTypeUpper,core,core,path,$.event.type,case_convert,
10,eventTypeLower,core,core,path,$.event.type,case_convert,
11,receivedAt,core,core,path,$.event.ts,cast,
12,region,core,core,path,$.tenant.missingRegion,fallback,
13,runtimeConstant,core,core,constant,flowplane-http-grpc-benchmark,,
14,customerLabel,core,core,path,$.customer.id,template,
15,labelParts,core,core,path,$.packet.labels,split,
16,normalizedMessage,core,core,path,$.packet.message,normalize_string,
17,loadPlusTen,core,core,arithmetic,"""$.metrics.load + 10""",,
18,hugeIntClamped,core,core,path,$.metrics.huge,cast|onOverflow,onOverflow
19,badIntDefault,core,core,path,$.metrics.badInt,cast|onTypeMismatch|default,onTypeMismatch|default
20,customerEmailMasked,core,core,path,$.customer.email,mask,
21,customerSsnHashed,core,core,path,$.customer.ssn,hash,
22,traceHash,core,core,path,$.event.trace,hash,
23,mappingSchemaVersion,core,core,path,$.benchmark.mappingSchemaVersion,,
24,signalNames,core,core,path,$.signals[*].name,array_mode|delimiter,
25,signalCount,core,core,path,$.signals[*],array_mode,
26,firstHotSignal,core,core,path,$.signals[?(@.value >= 70)].name,array_mode,
27,filterFirstSignal,core,core,path,$.signals[*].name,array_mode,
28,temperature,core,core,path,$.metrics.tempC,round,
29,online,core,core,path,$.metrics.online,cast,
30,currencyLabel,core,core,path,$.order.currency,template,
31,riskBand,core,core,path,$.customer.risk,lookup,
32,defaultedValue,core,core,path,$.packet.missingValue,default,default
33,metadataTenant,core,core,metadata,tenant,,
34,headerSource,core,core,header,source,,
35,loadAsInt,core,core,path,$.metrics.load,cast,
36,loadAsLong,core,core,path,$.metrics.load,cast,
37,jsonObject,core,core,path,$.packet.jsonObjectText,cast,
38,jsonArray,core,core,path,$.packet.jsonArrayText,cast,
39,businessDate,core,core,path,$.packet.businessDate,cast|date_format,
40,shipTime,core,core,path,$.packet.shipTime,cast|date_format,
41,regexMatched,core,core,path,$.order.id,regex_match,
42,regexExtracted,core,core,path,$.customer.email,regex_extract|sensitive,
43,regexReplaced,core,core,path,$.customer.ssn,regex_replace|replacement|sensitive,
44,sensitiveEmail,core,core,path,$.customer.email,sensitive,
45,redactedSsn,core,core,path,$.customer.ssn,redact|sensitive,
46,lastSignal,core,core,path,$.signals[*].name,array_mode,
